 ,AC-No.,Name,Date,Clock In,Clock Out,Work Time
1001,1,1,6/1/2023,9:20,18:00,
1001,1,1,6/2/2023,9:00,18:00,
1001,1,1,6/3/2023,9:00,18:00,
1001,1,1,6/4/2023,9:00,18:00,
1001,1,1,6/5/2023,9:00,18:00,
1001,1,1,6/6/2023,9:00,18:00,
1001,1,1,6/7/2023,9:00,18:00,
1001,1,1,6/8/2023,9:00,18:00,
1137,1,1,6/1/2023,9:00,18:00,
1137,1,1,6/2/2023,8:50,18:00,
1137,1,1,6/3/2023,9:00,18:00,
1137,1,1,6/4/2023,9:00,18:00,
1137,1,1,6/5/2023,9:00,18:00,
1137,1,1,6/6/2023,9:00,18:00,
1137,1,1,6/7/2023,9:00,18:00,
1137,1,1,6/8/2023,9:00,18:00,
